Brand,Calories,ABV,Efficiency,Fermentation
Abita Amber,128,4.50%,68.20%,Bottom
Abita Golden,125,4.20%,65.20%,Bottom
Abita Jockamo IPA,190,6.50%,66.40%,Top
Abita Light,118,4.00%,65.80%,Bottom
Abita Purple Haze,128,4.20%,63.70%,Bottom
Abita Restoration,167,5.00%,58.10%,Top
Abita Turbodog,168,5.60%,64.70%,Top
Amstel Light,99,3.50%,68.60%,Bottom
Anchor Porter,209,5.60%,52.00%,Top
Aspen Edge,94,4.10%,84.60%,Bottom
Augustiner Amber Lager,135,4.30%,61.80%,Bottom
Beach Bum Blonde Ale,163,5.40%,64.30%,Top
Beck's,143,5.00%,67.80%,Bottom
Beck's Light,64,2.30%,69.70%,Bottom
Blatz Beer,153,4.80%,60.90%,Bottom
Blue Moon Belgian White,164,5.36%,63.40%,Top
Blue Moon Full Moon Winter Ale,180,5.52%,59.50%,Top
Blue Moon Harvest Moon Pumpkin Ale,180,5.76%,62.10%,Top
Blue Moon Honey Moon Summer Ale,157,5.12%,63.30%,Top
Blue Moon Rising Moon Spring Ale,161,5.40%,65.10%,Top
Blue Point Toasted Lager,175,5.30%,58.80%,Bottom
Boddington's Ale,148,4.70%,61.60%,Top
Brooklyn Black Chocolate Stout,320,10.00%,60.60%,Top
Brooklyn Brown Ale,190,5.60%,57.20%,Top
Brooklyn East India Pale Ale,200,6.90%,66.90%,Top
Brooklyn Lager,170,5.20%,59.40%,Bottom
Brooklyn Monster,305,10.10%,64.30%,Top
Brooklyn Pennant Pale Ale,160,5.00%,60.60%,Top
Brooklyn Pilsner,155,5.10%,63.80%,Top
Brooklyn Summer Ale,150,5.00%,64.70%,Top
Brooklyn Winter Ale,205,6.10%,57.70%,Top
Bud American Ale,182,5.30%,56.50%,Top
Bud Dry,130,5.00%,74.60%,Bottom
Bud Ice,123,5.50%,86.80%,Bottom
Bud Ice Light,115,5.00%,84.40%,Bottom
Bud Light,110,4.20%,74.10%,Bottom
Bud Light Lime,116,4.20%,70.30%,Bottom
Bud Light Platinum,137,6.00%,85.00%,Bottom
Bud Light Wheat,118,4.10%,67.40%,Bottom
Budweiser,145,5.00%,66.90%,Bottom
Budweiser Select,99,4.30%,84.30%,Bottom
Budweiser Select 55,55,2.50%,88.20%,Bottom
Busch,132,4.60%,67.60%,Bottom
Busch Ice,171,5.90%,66.90%,Bottom
Busch Light,95,4.10%,83.70%,Bottom
Carling Black Label,138,4.30%,60.50%,Bottom
Coors Banquet,149,5.00%,65.10%,Bottom
Coors Extra Gold,152,4.97%,63.40%,Bottom
Coors Light,102,4.20%,79.90%,Bottom
Corona Extra,148,4.60%,60.30%,Bottom
Corona Light,99,4.10%,80.40%,Bottom
Cristal (Peru),134,4.50%,65.20%,Bottom
Cusque,140,4.80%,66.50%,Bottom
Dogfish Head 120 Minute IPA,450,18.00%,77.60%,Top
Dogfish Head 60 Minute IPA,209,6.00%,55.70%,Top
Dogfish Head 90 Minute IPA,294,9.00%,59.40%,Top
Dogfish Head Midas Touch,307,9.00%,56.90%,Top
Dogfish Head Red & White,310,10.00%,62.60%,Top
Dogfish Head Shelter Pale Ale,168,5.00%,57.80%,Top
Efes Pils,170,5.00%,57.10%,Bottom
Firestone DBA,166,5.00%,58.40%,Top
Flying Dog Doggie Style Pale Ale,150,5.50%,71.10%,Top
Flying Dog Double Dog,313,11.50%,71.30%,Top
Flying Dog Gonzo,271,9.20%,65.90%,Top
Flying Dog Horn Dog,314,10.20%,63.00%,Top
Flying Dog In Heat Wheat,138,4.70%,66.10%,Top
Flying Dog Kerberos Tripel,238,8.50%,69.30%,Top
Flying Dog Old Scratch Amber Lager,154,5.50%,69.30%,Bottom
Flying Dog Raging Bitch,221,8.30%,72.90%,Top
Flying Dog Road Dog,163,6.00%,71.40%,Top
Flying Dog Snake Dog IPA,188,7.10%,73.30%,Top
Flying Dog Tire Bite Golden Ale,129,5.10%,76.70%,Top
Foster's,145,5.00%,66.90%,Bottom
Foster's Premium Ale,160,5.50%,66.70%,Top
Genesee Beer,148,4.50%,59.00%,Top
Genesee Cream Ale,162,5.10%,61.10%,Top
Genesee Ice,156,5.90%,73.40%,Top
Genesee Red,148,4.90%,64.20%,Top
George Killian's Irish Red,162,4.98%,59.60%,Bottom
Grolsch Amber Ale,160,5.40%,65.50%,Top
Grolsch Blonde Lager,120,2.80%,45.30%,Bottom
Grolsch Light Lager,97,3.60%,72.00%,Bottom
Grolsch Premium Lager,147,5.00%,66.00%,Bottom
Guinness Draught,125,4.27%,66.30%,Top
Guinness Extra Stout,153,5.00%,63.40%,Top
Hamm's Beer,144,4.70%,63.30%,Bottom
Hamm's Special Light,110,3.90%,68.80%,Bottom
Harbin,144,4.60%,62.00%,Bottom
Harp Lager,155,5.20%,65.10%,Bottom
Heineken,150,5.00%,64.70%,Bottom
Heineken Light,99,4.00%,78.40%,Bottom
Hiland Light,97,4.00%,80.00%,Bottom
Hoegaarden Belgian White,153,4.90%,62.10%,Top
Icehouse 5.0,132,5.00%,73.50%,Bottom
Icehouse 5.5,149,5.50%,71.60%,Bottom
Icehouse Light,123,5.00%,78.90%,Bottom
Irish Red Ale,196,5.70%,56.40%,Top
Iron City,140,4.50%,62.40%,Bottom
Iron City Light,95,4.15%,84.80%,Bottom
Keystone Ice,142,5.90%,80.60%,Bottom
Keystone Light,104,4.13%,77.10%,Bottom
Keystone Premium,111,4.43%,77.40%,Bottom
Kirin,147,5.00%,66.00%,Bottom
Kirin Light,95,3.20%,65.40%,Bottom
Lech,143,4.90%,66.50%,Bottom
