"","Brand","Calories","ABV","Efficiency","Fermentation"
"1","Abita Amber",128,4.5,68.2,"Bottom"
"2","Abita Golden",125,4.2,65.2,"Bottom"
"3","Abita Jockamo IPA",190,6.5,66.4,"Top"
"4","Abita Light",118,4,65.8,"Bottom"
"5","Abita Purple Haze",128,4.2,63.7,"Bottom"
"6","Abita Restoration",167,5,58.1,"Top"
"7","Abita Turbodog",168,5.6,64.7,"Top"
"8","Amstel Light",99,3.5,68.6,"Bottom"
"9","Anchor Porter",209,5.6,52,"Top"
"10","Aspen Edge",94,4.1,84.6,"Bottom"
"11","Augustiner Amber Lager",135,4.3,61.8,"Bottom"
"12","Beach Bum Blonde Ale",163,5.4,64.3,"Top"
"13","Beck's",143,5,67.8,"Bottom"
"14","Beck's Light",64,2.3,69.7,"Bottom"
"15","Blatz Beer",153,4.8,60.9,"Bottom"
"16","Blue Moon Belgian White",164,5.36,63.4,"Top"
"17","Blue Moon Full Moon Winter Ale",180,5.52,59.5,"Top"
"18","Blue Moon Harvest Moon Pumpkin Ale",180,5.76,62.1,"Top"
"19","Blue Moon Honey Moon Summer Ale",157,5.12,63.3,"Top"
"20","Blue Moon Rising Moon Spring Ale",161,5.4,65.1,"Top"
"21","Blue Point Toasted Lager",175,5.3,58.8,"Bottom"
"22","Boddington's Ale",148,4.7,61.6,"Top"
"23","Brooklyn Black Chocolate Stout",320,10,60.6,"Top"
"24","Brooklyn Brown Ale",190,5.6,57.2,"Top"
"25","Brooklyn East India Pale Ale",200,6.9,66.9,"Top"
"26","Brooklyn Lager",170,5.2,59.4,"Bottom"
"27","Brooklyn Monster",305,10.1,64.3,"Top"
"28","Brooklyn Pennant Pale Ale",160,5,60.6,"Top"
"29","Brooklyn Pilsner",155,5.1,63.8,"Top"
"30","Brooklyn Summer Ale",150,5,64.7,"Top"
"31","Brooklyn Winter Ale",205,6.1,57.7,"Top"
"32","Bud American Ale",182,5.3,56.5,"Top"
"33","Bud Dry",130,5,74.6,"Bottom"
"34","Bud Ice",123,5.5,86.8,"Bottom"
"35","Bud Ice Light",115,5,84.4,"Bottom"
"36","Bud Light",110,4.2,74.1,"Bottom"
"37","Bud Light Lime",116,4.2,70.3,"Bottom"
"38","Bud Light Platinum",137,6,85,"Bottom"
"39","Bud Light Wheat",118,4.1,67.4,"Bottom"
"40","Budweiser",145,5,66.9,"Bottom"
"41","Budweiser Select",99,4.3,84.3,"Bottom"
"42","Budweiser Select 55",55,2.5,88.2,"Bottom"
"43","Busch",132,4.6,67.6,"Bottom"
"44","Busch Ice",171,5.9,66.9,"Bottom"
"45","Busch Light",95,4.1,83.7,"Bottom"
"46","Carling Black Label",138,4.3,60.5,"Bottom"
"47","Coors Banquet",149,5,65.1,"Bottom"
"48","Coors Extra Gold",152,4.97,63.4,"Bottom"
"49","Coors Light",102,4.2,79.9,"Bottom"
"50","Corona Extra",148,4.6,60.3,"Bottom"
"51","Corona Light",99,4.1,80.4,"Bottom"
"52","Cristal (Peru)",134,4.5,65.2,"Bottom"
"53","Cusque",140,4.8,66.5,"Bottom"
"54","Dogfish Head 120 Minute IPA",450,18,77.6,"Top"
"55","Dogfish Head 60 Minute IPA",209,6,55.7,"Top"
"56","Dogfish Head 90 Minute IPA",294,9,59.4,"Top"
"57","Dogfish Head Midas Touch",307,9,56.9,"Top"
"58","Dogfish Head Red & White",310,10,62.6,"Top"
"59","Dogfish Head Shelter Pale Ale",168,5,57.8,"Top"
"60","Efes Pils",170,5,57.1,"Bottom"
"61","Firestone DBA",166,5,58.4,"Top"
"62","Flying Dog Doggie Style Pale Ale",150,5.5,71.1,"Top"
"63","Flying Dog Double Dog",313,11.5,71.3,"Top"
"64","Flying Dog Gonzo",271,9.2,65.9,"Top"
"65","Flying Dog Horn Dog",314,10.2,63,"Top"
"66","Flying Dog In Heat Wheat",138,4.7,66.1,"Top"
"67","Flying Dog Kerberos Tripel",238,8.5,69.3,"Top"
"68","Flying Dog Old Scratch Amber Lager",154,5.5,69.3,"Bottom"
"69","Flying Dog Raging Bitch",221,8.3,72.9,"Top"
"70","Flying Dog Road Dog",163,6,71.4,"Top"
"71","Flying Dog Snake Dog IPA",188,7.1,73.3,"Top"
"72","Flying Dog Tire Bite Golden Ale",129,5.1,76.7,"Top"
"73","Foster's",145,5,66.9,"Bottom"
"74","Foster's Premium Ale",160,5.5,66.7,"Top"
"75","Genesee Beer",148,4.5,59,"Top"
"76","Genesee Cream Ale",162,5.1,61.1,"Top"
"77","Genesee Ice",156,5.9,73.4,"Top"
"78","Genesee Red",148,4.9,64.2,"Top"
"79","George Killian's Irish Red",162,4.98,59.6,"Bottom"
"80","Grolsch Amber Ale",160,5.4,65.5,"Top"
"81","Grolsch Blonde Lager",120,2.8,45.3,"Bottom"
"82","Grolsch Light Lager",97,3.6,72,"Bottom"
"83","Grolsch Premium Lager",147,5,66,"Bottom"
"84","Guinness Draught",125,4.27,66.3,"Top"
"85","Guinness Extra Stout",153,5,63.4,"Top"
"86","Hamm's Beer",144,4.7,63.3,"Bottom"
"87","Hamm's Special Light",110,3.9,68.8,"Bottom"
"88","Harbin",144,4.6,62,"Bottom"
"89","Harp Lager",155,5.2,65.1,"Bottom"
"90","Heineken",150,5,64.7,"Bottom"
"91","Heineken Light",99,4,78.4,"Bottom"
"92","Hiland Light",97,4,80,"Bottom"
"93","Hoegaarden Belgian White",153,4.9,62.1,"Top"
"94","Icehouse 5.0",132,5,73.5,"Bottom"
"95","Icehouse 5.5",149,5.5,71.6,"Bottom"
